Word,Pronunciation,Alignment
remembered,R IH M EH M B ER D,"[('r', 'R'), ('e', 'IH'), ('m', 'M'), ('e', 'EH'), ('m', 'M'), ('b', 'B'), ('e', '#'), ('r', '#'), ('e', 'ER'), ('d', 'D')]"
remembering,R IH M EH M B ER IH NG,"[('r', 'R'), ('e', 'IH'), ('m', 'M'), ('e', 'EH'), ('m', 'M'), ('b', 'B'), ('e', 'ER'), ('r', '#'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
remembers,R IH M EH M B ER Z,"[('r', 'R'), ('e', 'IH'), ('m', 'M'), ('e', 'EH'), ('m', 'M'), ('b', 'B'), ('e', 'ER'), ('r', '#'), ('s', 'Z')]"
remembrance,R IY M EH M B R AH N S,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('e', 'EH'), ('m', 'M'), ('b', 'B'), ('r', 'R'), ('a', 'AH'), ('n', 'N'), ('c', 'S'), ('e', '#')]"
remer,R IY M ER,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('e', 'ER'), ('r', '#')]"
remerchandise,R IY M ER CH AH N D AY Z,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('e', 'ER'), ('r', '#'), ('c', 'CH'), ('h', '#'), ('a', 'AH'), ('n', 'N'), ('d', 'D'), ('i', 'AY'), ('s', 'Z'), ('e', '#')]"
remerchandised,R IY M ER CH AH N D AY Z D,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('e', 'ER'), ('r', '#'), ('c', 'CH'), ('h', '#'), ('a', 'AH'), ('n', 'N'), ('d', 'D'), ('i', 'AY'), ('s', 'Z'), ('e', '#'), ('d', 'D')]"
remerci,R IH M ER S IY,"[('r', 'R'), ('e', 'IH'), ('m', 'M'), ('e', 'ER'), ('r', '#'), ('c', 'S'), ('i', 'IY')]"
remi,R EH M IY,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('i', 'IY')]"
remic,R EH M IH K,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('i', 'IH'), ('c', 'K')]"
remick,R EH M IH K,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('i', 'IH'), ('c', 'K'), ('k', '#')]"
remics,R EH M IH K S,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('i', 'IH'), ('c', 'K'), ('s', 'S')]"
remigio,R IH M IH JH IY OW,"[('r', 'R'), ('e', 'IH'), ('m', 'M'), ('i', 'IH'), ('g', 'JH'), ('i', 'IY'), ('o', 'OW')]"
remillard,R EH M IH L ER D,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('i', 'IH'), ('l', '#'), ('l', 'L'), ('a', '#'), ('r', 'ER'), ('d', 'D')]"
remind,R IY M AY N D,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('i', 'AY'), ('n', 'N'), ('d', 'D')]"
reminded,R IY M AY N D IH D,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('i', 'AY'), ('n', 'N'), ('d', 'D'), ('e', 'IH'), ('d', 'D')]"
reminder,R IY M AY N D ER,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('i', 'AY'), ('n', 'N'), ('d', 'D'), ('e', 'ER'), ('r', '#')]"
reminding,R IY M AY N D IH NG,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('i', 'AY'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
reminds,R IY M AY N D Z,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('i', 'AY'), ('n', 'N'), ('d', 'D'), ('s', 'Z')]"
remington,R EH M IH NG T AH N,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('i', 'IH'), ('n', 'NG'), ('g', '#'), ('t', 'T'), ('o', 'AH'), ('n', 'N')]"
remingtons,R EH M IH NG T AH N Z,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('i', 'IH'), ('n', 'NG'), ('g', '#'), ('t', 'T'), ('o', 'AH'), ('n', 'N'), ('s', 'Z')]"
reminisce,R EH M AH N IH S,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('i', 'AH'), ('n', 'N'), ('i', 'IH'), ('s', 'S'), ('c', '#'), ('e', '#')]"
reminisced,R EH M AH N IH S T,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('i', 'AH'), ('n', 'N'), ('i', 'IH'), ('s', 'S'), ('c', '#'), ('e', 'T'), ('d', '#')]"
reminiscence,R EH M AH N IH S AH N S,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('i', 'AH'), ('n', 'N'), ('i', 'IH'), ('s', 'S'), ('c', '#'), ('e', 'AH'), ('n', 'N'), ('c', 'S'), ('e', '#')]"
reminiscent,R EH M AH N IH S AH N T,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('i', 'AH'), ('n', 'N'), ('i', 'IH'), ('s', 'S'), ('c', '#'), ('e', 'AH'), ('n', 'N'), ('t', 'T')]"
reminisces,R EH M AH N IH S IH Z,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('i', 'AH'), ('n', 'N'), ('i', 'IH'), ('s', 'S'), ('c', '#'), ('e', 'IH'), ('s', 'Z')]"
reminiscing,R EH M AH N IH S IH NG,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('i', 'AH'), ('n', 'N'), ('i', 'IH'), ('s', 'S'), ('c', '#'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
remis,R EY M IY Z,"[('r', 'R'), ('e', 'EY'), ('m', 'M'), ('i', 'IY'), ('s', 'Z')]"
remiss,R IY M IH S,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('i', 'IH'), ('s', '#'), ('s', 'S')]"
remisses,R IY M IH S IH Z,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('i', 'IH'), ('s', '#'), ('s', 'S'), ('e', 'IH'), ('s', 'Z')]"
remission,R IY M IH SH AH N,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('i', 'IH'), ('s', '#'), ('s', 'SH'), ('i', '#'), ('o', 'AH'), ('n', 'N')]"
remit,R IY M IH T,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('i', 'IH'), ('t', 'T')]"
remittance,R IY M IH T AH N S,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('i', 'IH'), ('t', '#'), ('t', 'T'), ('a', 'AH'), ('n', 'N'), ('c', 'S'), ('e', '#')]"
remitted,R IY M IH T IH D,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('i', 'IH'), ('t', '#'), ('t', 'T'), ('e', 'IH'), ('d', 'D')]"
remley,R EH M L IY,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('l', 'L'), ('e', 'IY'), ('y', '#')]"
remlinger,R EH M AH L IH NG ER,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('$', 'AH'), ('l', 'L'), ('i', 'IH'), ('n', 'NG'), ('g', '#'), ('e', 'ER'), ('r', '#')]"
remme,R EH M,"[('r', 'R'), ('e', 'EH'), ('m', '#'), ('m', 'M'), ('e', '#')]"
remmel,R EH M AH L,"[('r', 'R'), ('e', 'EH'), ('m', '#'), ('m', 'M'), ('e', 'AH'), ('l', 'L')]"
remmers,R EH M ER Z,"[('r', 'R'), ('e', 'EH'), ('m', '#'), ('m', 'M'), ('e', 'ER'), ('r', '#'), ('s', 'Z')]"
remmert,R EH M ER T,"[('r', 'R'), ('e', 'EH'), ('m', '#'), ('m', 'M'), ('e', 'ER'), ('r', '#'), ('t', 'T')]"
remmington,R EH M IH NG T IH N,"[('r', 'R'), ('e', 'EH'), ('m', '#'), ('m', 'M'), ('i', 'IH'), ('n', 'NG'), ('g', '#'), ('t', 'T'), ('o', 'IH'), ('n', 'N')]"
remmy,R EH M IY,"[('r', 'R'), ('e', 'EH'), ('m', '#'), ('m', 'M'), ('y', 'IY')]"
remnant,R EH M N AH N T,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('n', 'N'), ('a', 'AH'), ('n', 'N'), ('t', 'T')]"
remnick,R EH M N IH K,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('n', 'N'), ('i', 'IH'), ('c', 'K'), ('k', '#')]"
remo,R EH M OW,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('o', 'OW')]"
remodel,R IY M AA D AH L,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('o', 'AA'), ('d', 'D'), ('e', 'AH'), ('l', 'L')]"
remodeled,R IY M AA D AH L D,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('o', 'AA'), ('d', 'D'), ('e', 'AH'), ('l', 'L'), ('e', '#'), ('d', 'D')]"
remodeling,R IH M AA D AH L IH NG,"[('r', 'R'), ('e', 'IH'), ('m', 'M'), ('o', 'AA'), ('d', 'D'), ('e', 'AH'), ('l', 'L'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
remold,R IY M OW L D,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('o', 'OW'), ('l', 'L'), ('d', 'D')]"
remolded,R IY M OW L D IH D,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('o', 'OW'), ('l', 'L'), ('d', 'D'), ('e', 'IH'), ('d', 'D')]"
remorse,R IH M AO R S,"[('r', 'R'), ('e', 'IH'), ('m', 'M'), ('o', 'AO'), ('r', 'R'), ('s', 'S'), ('e', '#')]"
remorseful,R IH M AO R S F AH L,"[('r', 'R'), ('e', 'IH'), ('m', 'M'), ('o', 'AO'), ('r', 'R'), ('s', 'S'), ('e', '#'), ('f', 'F'), ('u', 'AH'), ('l', 'L')]"
remorseless,R IH M AO R S L AH S,"[('r', 'R'), ('e', 'IH'), ('m', 'M'), ('o', 'AO'), ('r', 'R'), ('s', 'S'), ('e', '#'), ('l', 'L'), ('e', 'AH'), ('s', '#'), ('s', 'S')]"
remote,R IH M OW T,"[('r', 'R'), ('e', 'IH'), ('m', 'M'), ('o', 'OW'), ('t', 'T'), ('e', '#')]"
remotely,R IY M OW T L IY,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('o', 'OW'), ('t', 'T'), ('e', '#'), ('l', 'L'), ('y', 'IY')]"
remoteness,R IY M OW T N AH S,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('o', 'OW'), ('t', 'T'), ('e', '#'), ('n', 'N'), ('e', 'AH'), ('s', '#'), ('s', 'S')]"
remotest,R IH M OW T AH S T,"[('r', 'R'), ('e', 'IH'), ('m', 'M'), ('o', 'OW'), ('t', 'T'), ('e', 'AH'), ('s', 'S'), ('t', 'T')]"
remoulded,R IY M OW L D IH D,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('o', 'OW'), ('u', '#'), ('l', 'L'), ('d', 'D'), ('e', 'IH'), ('d', 'D')]"
removable,R IH M UW V AH B AH L,"[('r', 'R'), ('e', 'IH'), ('m', 'M'), ('o', 'UW'), ('v', 'V'), ('a', 'AH'), ('b', 'B'), ('$', 'AH'), ('l', 'L'), ('e', '#')]"
removal,R IH M UW V AH L,"[('r', 'R'), ('e', 'IH'), ('m', 'M'), ('o', 'UW'), ('v', 'V'), ('a', 'AH'), ('l', 'L')]"
remove,R IY M UW V,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('o', 'UW'), ('v', 'V'), ('e', '#')]"
removed,R IY M UW V D,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('o', 'UW'), ('v', 'V'), ('e', '#'), ('d', 'D')]"
remover,R IH M UW V ER,"[('r', 'R'), ('e', 'IH'), ('m', 'M'), ('o', 'UW'), ('v', 'V'), ('e', 'ER'), ('r', '#')]"
removing,R IY M UW V IH NG,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('o', 'UW'), ('v', 'V'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
rempac,R EH M P AE K,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('p', 'P'), ('a', 'AE'), ('c', 'K')]"
rempe,R EH M P,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('p', 'P'), ('e', '#')]"
rempel,R EH M P AH L,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('p', 'P'), ('e', 'AH'), ('l', 'L')]"
rempfer,R EH M P F ER,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('p', 'P'), ('f', 'F'), ('e', 'ER'), ('r', '#')]"
remsberg,R EH M S B ER G,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('s', 'S'), ('b', 'B'), ('e', 'ER'), ('r', '#'), ('g', 'G')]"
remsburg,R EH M S B ER G,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('s', 'S'), ('b', 'B'), ('u', '#'), ('r', 'ER'), ('g', 'G')]"
remsen,R EH M S AH N,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('s', 'S'), ('e', 'AH'), ('n', 'N')]"
remson,R EH M S AH N,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('s', 'S'), ('o', 'AH'), ('n', 'N')]"
remunerate,R IH M Y UW N ER EY T,"[('r', 'R'), ('e', 'IH'), ('m', 'M'), ('$', 'Y'), ('u', 'UW'), ('n', 'N'), ('e', 'ER'), ('r', '#'), ('a', 'EY'), ('t', 'T'), ('e', '#')]"
remuneration,R IH M Y UW N ER EY SH AH N,"[('r', 'R'), ('e', 'IH'), ('m', 'M'), ('$', 'Y'), ('u', 'UW'), ('n', 'N'), ('e', 'ER'), ('r', 'EY'), ('$', 'SH'), ('a', 'AH'), ('t', '#'), ('i', '#'), ('o', '#'), ('n', 'N')]"
remunerative,R IY M Y UW N ER AH T IH V,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('$', 'Y'), ('u', 'UW'), ('n', 'N'), ('e', 'ER'), ('r', '#'), ('a', 'AH'), ('t', 'T'), ('i', 'IH'), ('v', 'V'), ('e', '#')]"
remus,R IY M AH S,"[('r', 'R'), ('e', 'IY'), ('m', 'M'), ('u', 'AH'), ('s', 'S')]"
remy,R EH M IY,"[('r', 'R'), ('e', 'EH'), ('m', 'M'), ('y', 'IY')]"
rena,R IY N AH,"[('r', 'R'), ('e', 'IY'), ('n', 'N'), ('a', 'AH')]"
renaissance,R EH N AH S AA N S,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('a', 'AH'), ('i', '#'), ('s', '#'), ('s', 'S'), ('a', 'AA'), ('n', 'N'), ('c', 'S'), ('e', '#')]"
renal,R IY N AH L,"[('r', 'R'), ('e', 'IY'), ('n', 'N'), ('a', 'AH'), ('l', 'L')]"
renaldo,R EH N AA L D OW,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('a', 'AA'), ('l', 'L'), ('d', 'D'), ('o', 'OW')]"
rename,R IY N EY M,"[('r', 'R'), ('e', 'IY'), ('n', 'N'), ('a', 'EY'), ('m', 'M'), ('e', '#')]"
renamed,R IY N EY M D,"[('r', 'R'), ('e', 'IY'), ('n', 'N'), ('a', 'EY'), ('m', 'M'), ('e', '#'), ('d', 'D')]"
renaming,R IY N EY M IH NG,"[('r', 'R'), ('e', 'IY'), ('n', 'N'), ('a', 'EY'), ('m', 'M'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
renamo,R EH N AA M OW,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('a', 'AA'), ('m', 'M'), ('o', 'OW')]"
renard,R IH N AA R D,"[('r', 'R'), ('e', 'IH'), ('n', 'N'), ('a', 'AA'), ('r', 'R'), ('d', 'D')]"
renata,R AH N AA T AH,"[('r', 'R'), ('e', 'AH'), ('n', 'N'), ('a', 'AA'), ('t', 'T'), ('a', 'AH')]"
renate,R AH N AA T AH,"[('r', 'R'), ('e', 'AH'), ('n', 'N'), ('a', 'AA'), ('t', 'T'), ('e', 'AH')]"
renationalization,R IY N AE SH AH N AH L IH Z EY SH AH N,"[('r', 'R'), ('e', 'IY'), ('n', 'N'), ('a', 'AE'), ('t', 'SH'), ('i', '#'), ('o', 'AH'), ('n', 'N'), ('a', 'AH'), ('l', 'L'), ('i', 'IH'), ('z', 'Z'), ('$', 'EY'), ('$', 'SH'), ('a', 'AH'), ('t', '#'), ('i', '#'), ('o', '#'), ('n', 'N')]"
renationalize,R IY N AE SH AH N AH L AY Z,"[('r', 'R'), ('e', 'IY'), ('n', 'N'), ('a', 'AE'), ('t', 'SH'), ('i', '#'), ('o', 'AH'), ('n', 'N'), ('a', 'AH'), ('l', 'L'), ('i', 'AY'), ('z', 'Z'), ('e', '#')]"
renato,R EH N AA T OW,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('a', 'AA'), ('t', 'T'), ('o', 'OW')]"
renaud,R IH N OW,"[('r', 'R'), ('e', 'IH'), ('n', 'N'), ('a', 'OW'), ('u', '#'), ('d', '#')]"
renault,R AH N OW,"[('r', 'R'), ('e', 'AH'), ('n', 'N'), ('a', 'OW'), ('u', '#'), ('l', '#'), ('t', '#')]"
renbarger,R EH N B AA R G ER,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('b', 'B'), ('a', 'AA'), ('r', 'R'), ('g', 'G'), ('e', 'ER'), ('r', '#')]"
rencen,R EH N S AH N,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('c', 'S'), ('e', 'AH'), ('n', 'N')]"
rench,R EH N CH,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('c', 'CH'), ('h', '#')]"
rencher,R EH N CH ER,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('c', 'CH'), ('h', '#'), ('e', 'ER'), ('r', '#')]"
renco,R EH N K OW,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('c', 'K'), ('o', 'OW')]"
renda,R EH N D AH,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('d', 'D'), ('a', 'AH')]"
rendall,R EH N D AH L,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('d', 'D'), ('a', 'AH'), ('l', '#'), ('l', 'L')]"
rende,R EH N D,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('d', 'D'), ('e', '#')]"
rendell,R EH N D AH L,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('d', 'D'), ('e', 'AH'), ('l', '#'), ('l', 'L')]"
render,R EH N D ER,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('d', 'D'), ('e', 'ER'), ('r', '#')]"
rendered,R EH N D ER D,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('d', 'D'), ('e', '#'), ('r', '#'), ('e', 'ER'), ('d', 'D')]"
rendering,R EH N D ER IH NG,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('d', 'D'), ('e', 'ER'), ('r', '#'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
rendezvous,R AA N D IH V UW,"[('r', 'R'), ('e', 'AA'), ('n', 'N'), ('d', 'D'), ('e', 'IH'), ('z', '#'), ('v', 'V'), ('o', '#'), ('u', 'UW'), ('s', '#')]"
rendina,R EH N D IY N AH,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('d', 'D'), ('i', 'IY'), ('n', 'N'), ('a', 'AH')]"
rending,R EH N D IH NG,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
rendition,R EH N D IH SH AH N,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('d', 'D'), ('i', 'IH'), ('t', 'SH'), ('i', '#'), ('o', 'AH'), ('n', 'N')]"
rendleman,R EH N D AH L M AH N,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('d', 'D'), ('$', 'AH'), ('l', 'L'), ('e', '#'), ('m', 'M'), ('a', 'AH'), ('n', 'N')]"
rendon,R EH N D OW N,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('d', 'D'), ('o', 'OW'), ('n', 'N')]"
rene,R AH N EY,"[('r', 'R'), ('e', 'AH'), ('n', 'N'), ('e', 'EY')]"
reneau,R IH N OW,"[('r', 'R'), ('e', 'IH'), ('n', 'N'), ('e', 'OW'), ('a', '#'), ('u', '#')]"
renee,R AH N EY,"[('r', 'R'), ('e', 'AH'), ('n', 'N'), ('e', '#'), ('e', 'EY')]"
renegade,R EH N AH G EY D,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('e', 'AH'), ('g', 'G'), ('a', 'EY'), ('d', 'D'), ('e', '#')]"
renegar,R EH N IH G ER,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('e', 'IH'), ('g', 'G'), ('a', '#'), ('r', 'ER')]"
renege,R IH N IH G,"[('r', 'R'), ('e', 'IH'), ('n', 'N'), ('e', 'IH'), ('g', 'G'), ('e', '#')]"
reneged,R IH N IH G D,"[('r', 'R'), ('e', 'IH'), ('n', 'N'), ('e', 'IH'), ('g', 'G'), ('e', '#'), ('d', 'D')]"
reneging,R IH N IH G IH NG,"[('r', 'R'), ('e', 'IH'), ('n', 'N'), ('e', 'IH'), ('g', 'G'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
renegotiate,R IY N IH G OW SH IY EY T,"[('r', 'R'), ('e', 'IY'), ('n', 'N'), ('e', 'IH'), ('g', 'G'), ('o', 'OW'), ('t', 'SH'), ('i', 'IY'), ('a', 'EY'), ('t', 'T'), ('e', '#')]"
renegotiated,R IY N IH G OW SH IY EY T IH D,"[('r', 'R'), ('e', 'IY'), ('n', 'N'), ('e', 'IH'), ('g', 'G'), ('o', 'OW'), ('$', 'SH'), ('$', 'IY'), ('$', 'EY'), ('t', 'T'), ('i', 'IH'), ('a', '#'), ('t', '#'), ('e', '#'), ('d', 'D')]"
renegotiating,R IY N IH G OW SH IY EY T IH NG,"[('r', 'R'), ('e', 'IY'), ('n', 'N'), ('e', 'IH'), ('g', 'G'), ('o', 'OW'), ('t', 'SH'), ('i', 'IY'), ('a', 'EY'), ('t', 'T'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
renegotiation,R IY N IH G OW SH IY EY SH AH N,"[('r', 'R'), ('e', 'IY'), ('n', 'N'), ('e', 'IH'), ('g', 'G'), ('o', 'OW'), ('t', 'SH'), ('i', 'IY'), ('$', 'EY'), ('$', 'SH'), ('a', 'AH'), ('t', '#'), ('i', '#'), ('o', '#'), ('n', 'N')]"
renegotiations,R IY N IH G OW SH IY EY SH AH N Z,"[('r', 'R'), ('e', 'IY'), ('n', 'N'), ('e', 'IH'), ('g', 'G'), ('o', 'OW'), ('t', 'SH'), ('i', 'IY'), ('$', 'EY'), ('$', 'SH'), ('a', 'AH'), ('t', '#'), ('i', '#'), ('o', '#'), ('n', 'N'), ('s', 'Z')]"
renehan,R EH N IH HH AE N,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('e', 'IH'), ('h', 'HH'), ('a', 'AE'), ('n', 'N')]"
renew,R IH N UW,"[('r', 'R'), ('e', 'IH'), ('n', 'N'), ('e', 'UW'), ('w', '#')]"
renewable,R IY N UW AH B AH L,"[('r', 'R'), ('e', 'IY'), ('n', 'N'), ('e', 'UW'), ('w', '#'), ('a', 'AH'), ('b', 'B'), ('$', 'AH'), ('l', 'L'), ('e', '#')]"
renewal,R IH N UW AH L,"[('r', 'R'), ('e', 'IH'), ('n', 'N'), ('e', 'UW'), ('w', '#'), ('a', 'AH'), ('l', 'L')]"
renewed,R IH N UW D,"[('r', 'R'), ('e', 'IH'), ('n', 'N'), ('e', '#'), ('w', '#'), ('e', 'UW'), ('d', 'D')]"
renewing,R IH N UW IH NG,"[('r', 'R'), ('e', 'IH'), ('n', 'N'), ('e', 'UW'), ('w', '#'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
renews,R IH N UW Z,"[('r', 'R'), ('e', 'IH'), ('n', 'N'), ('e', 'UW'), ('w', '#'), ('s', 'Z')]"
renfred,R EH N F ER D,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('f', 'F'), ('r', '#'), ('e', 'ER'), ('d', 'D')]"
renfrew,R EH N F R UW,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('f', 'F'), ('r', 'R'), ('e', 'UW'), ('w', '#')]"
renfro,R EH N F R OW,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('f', 'F'), ('r', 'R'), ('o', 'OW')]"
renfroe,R EH N F R OW,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('f', 'F'), ('r', 'R'), ('o', 'OW'), ('e', '#')]"
renfrow,R EH N F R AW,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('f', 'F'), ('r', 'R'), ('o', 'AW'), ('w', '#')]"
rengel,R EH NG G AH L,"[('r', 'R'), ('e', 'EH'), ('n', 'NG'), ('g', 'G'), ('e', 'AH'), ('l', 'L')]"
rengo,R EH NG G OW,"[('r', 'R'), ('e', 'EH'), ('n', 'NG'), ('g', 'G'), ('o', 'OW')]"
renick,R EH N IH K,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('i', 'IH'), ('c', 'K'), ('k', '#')]"
renier,R IY N IY ER,"[('r', 'R'), ('e', 'IY'), ('n', 'N'), ('i', 'IY'), ('e', 'ER'), ('r', '#')]"
renin,R IY N AH N,"[('r', 'R'), ('e', 'IY'), ('n', 'N'), ('i', 'AH'), ('n', 'N')]"
renison,R EH N IH S AH N,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('i', 'IH'), ('s', 'S'), ('o', 'AH'), ('n', 'N')]"
renita,R EH N IY T AH,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('i', 'IY'), ('t', 'T'), ('a', 'AH')]"
renk,R EH NG K,"[('r', 'R'), ('e', 'EH'), ('n', 'NG'), ('k', 'K')]"
renken,R EH NG K AH N,"[('r', 'R'), ('e', 'EH'), ('n', 'NG'), ('k', 'K'), ('e', 'AH'), ('n', 'N')]"
renko,R EH NG K OW,"[('r', 'R'), ('e', 'EH'), ('n', 'NG'), ('k', 'K'), ('o', 'OW')]"
renminbi,R EH N M IH N B IY,"[('r', 'R'), ('e', 'EH'), ('n', 'N'), ('m', 'M'), ('i', 'IH'), ('n', 'N'), ('b', 'B'), ('i', 'IY')]"
renn,R EH N,"[('r', 'R'), ('e', 'EH'), ('n', '#'), ('n', 'N')]"
renna,R EH N AH,"[('r', 'R'), ('e', 'EH'), ('n', '#'), ('n', 'N'), ('a', 'AH')]"
rennard,R IH N AA R D,"[('r', 'R'), ('e', 'IH'), ('n', '#'), ('n', 'N'), ('a', 'AA'), ('r', 'R'), ('d', 'D')]"
renne,R EH N,"[('r', 'R'), ('e', 'EH'), ('n', '#'), ('n', 'N'), ('e', '#')]"
rennels,R EH N AH L Z,"[('r', 'R'), ('e', 'EH'), ('n', '#'), ('n', 'N'), ('e', 'AH'), ('l', 'L'), ('s', 'Z')]"
renner,R EH N ER,"[('r', 'R'), ('e', 'EH'), ('n', '#'), ('n', 'N'), ('e', 'ER'), ('r', '#')]"
rennert,R EH N ER T,"[('r', 'R'), ('e', 'EH'), ('n', '#'), ('n', 'N'), ('e', 'ER'), ('r', '#'), ('t', 'T')]"
rennet,R EH N AH T,"[('r', 'R'), ('e', 'EH'), ('n', '#'), ('n', 'N'), ('e', 'AH'), ('t', 'T')]"
rennick,R EH N IH K,"[('r', 'R'), ('e', 'EH'), ('n', '#'), ('n', 'N'), ('i', 'IH'), ('c', 'K'), ('k', '#')]"
rennie,R EH N IY,"[('r', 'R'), ('e', 'EH'), ('n', '#'), ('n', 'N'), ('i', '#'), ('e', 'IY')]"
renninger,R EH N IH NG ER,"[('r', 'R'), ('e', 'EH'), ('n', '#'), ('n', 'N'), ('i', 'IH'), ('n', 'NG'), ('g', '#'), ('e', 'ER'), ('r', '#')]"
renno,R EH N OW,"[('r', 'R'), ('e', 'EH'), ('n', '#'), ('n', 'N'), ('o', 'OW')]"
